"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10","0.36","0.0","60.2","66.9","53.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-11","3.16","0.0","45.3","52.1","38.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-12","4.85","8.6","38.6","44.5","32.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-01","2.80","19.7","28.7","35.5","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-02","5.48","29.0","31.7","37.5","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-03","3.67","0.1","37.7","45.5","29.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-04","7.85","0.0","52.3","61.2","43.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-05","4.37","0.0","64.0","72.5","55.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-06","4.26","0.0","72.4","80.4","64.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-07","5.59","0.0","76.1","83.5","68.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-08","2.25","0.0","74.5","82.5","66.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-09","1.21","0.0","69.7","77.3","62.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-10","5.78","0.0","59.6","65.9","53.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11","4.51","0.2","45.3","51.6","39.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12","6.04","1.0","40.5","45.1","36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-01","5.22","16.9","29.9","36.1","23.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-02","2.04","13.6","24.1","32.1","16.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03","4.73","18.6","38.1","45.2","31.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-04","2.08","0.0","54.3","62.6","45.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-05","1.86","0.0","68.5","78.4","58.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-06","4.79","0.0","71.2","78.5","63.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-07","3.97","0.0","78.8","85.9","71.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-08","2.35","0.0","79.0","86.9","71.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-09","3.28","0.0","74.4","82.6","66.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-10","3.91","0.0","58.0","65.4","50.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-11","2.02","0.0","52.8","59.3","46.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015-12","4.72","0.0","50.8","56.3","45.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-01","4.41","27.9","34.5","40.8","28.2"
